short_name,club_name,nationality_name,position_group,age,overall,potential,international_reputation,pace,shooting,passing,dribbling,defending,physic,weak_foot,skill_moves,value_eur,display_label
K. Mbappé,Paris Saint Germain,France,Forward,24,91,94,5,97.0,90.0,80.0,92.0,36.0,78.0,4,5,181500000.0,K. Mbappé (Paris Saint Germain)
E. Haaland,Manchester City,Norway,Forward,22,91,94,5,89.0,93.0,66.0,80.0,45.0,88.0,3,3,185000000.0,E. Haaland (Manchester City)
K. De Bruyne,Manchester City,Belgium,Midfielder,32,91,91,5,72.0,88.0,94.0,87.0,65.0,78.0,5,4,103000000.0,K. De Bruyne (Manchester City)
R. Lewandowski,FC Barcelona,Poland,Forward,34,90,90,5,75.0,91.0,80.0,87.0,44.0,84.0,4,4,58000000.0,R. Lewandowski (FC Barcelona)
T. Courtois,Real Madrid,Belgium,Goalkeeper,31,90,90,5,0.0,0.0,0.0,0.0,0.0,0.0,3,1,63000000.0,T. Courtois (Real Madrid)
H. Kane,FC Bayern München,England,Forward,29,90,90,5,69.0,93.0,84.0,83.0,49.0,83.0,5,3,119500000.0,H. Kane (FC Bayern München)
Vini Jr.,Real Madrid,Brazil,Forward,22,89,94,5,95.0,82.0,78.0,90.0,29.0,68.0,4,5,158500000.0,Vini Jr. (Real Madrid)
Alisson,Liverpool,Brazil,Goalkeeper,30,89,90,5,0.0,0.0,0.0,0.0,0.0,0.0,3,1,77500000.0,Alisson (Liverpool)
Rodri,Manchester City,Spain,Midfielder,27,89,90,4,58.0,73.0,80.0,80.0,85.0,84.0,4,3,105500000.0,Rodri (Manchester City)
Rúben Dias,Manchester City,Portugal,Defender,26,89,90,4,62.0,39.0,66.0,69.0,89.0,87.0,4,2,106500000.0,Rúben Dias (Manchester City)
M. ter Stegen,FC Barcelona,Germany,Goalkeeper,31,89,89,5,0.0,0.0,0.0,0.0,0.0,0.0,4,1,54500000.0,M. ter Stegen (FC Barcelona)
Casemiro,Manchester United,Brazil,Midfielder,31,89,89,4,63.0,75.0,79.0,73.0,89.0,88.0,3,2,72000000.0,Casemiro (Manchester United)
